站点名称,城市,地址,区域,经度,纬度,是否完成校准
小象超市-未来科技城站-BJ0197,北京,北京市昌平区北七家镇岭上村海德堡花园小区游泳馆,昌平区,116.459862,40.10791,
小象超市-后沙峪站-BJ0221,北京,顺义区裕民大街16号,顺义区,116.549789,40.100864,
小象超市-天北站-BJ0267,北京,北京市昌平区太平庄北街天通苑北三区1号楼中福万合广场地下一层,昌平区,116.429286,40.079113,
小象超市-北苑春华站-BJ0153,北京,北京市朝阳区北苑路大羊坊10号桑普大厦小象超市,朝阳区,116.416794,40.039841,
小象超市-霄云路站-BJ0238,北京,北京市-朝阳区-霄云路甲35号热力老生产办公楼一层,朝阳区,116.462822,39.958569,
小象超市-将台路站-BJ0302,北京,北京市朝阳区酒仙桥路10号院35号楼1层101室,朝阳区,116.498127,39.979397,
小象超市-新华西街站-BJ0285,北京,北京市通州区八里桥南街1号院1-1、1-2、1-3号楼地下一层B1-19,通州区,116.635422,39.90683,
小象超市-兰庄站-BJ0291,北京,北京市海淀区新都路兰观市集美团买菜,昌平区,116.374039,40.066208,
小象超市-天桥站-BJ0129,北京,北京市东城区天桥百货商场1层美团买菜,西城区,116.397751,39.880638,
小象超市-荷清站-BJ0294,北京,北京市海淀区中关村北大街18号一层,海淀区,116.318245,40.016693,
小象超市-中陈路站-BJ0183,北京,北京市昌平区东小口镇中滩村南10幢,昌平区,116.408318,40.055241,
小象超市-红军营站-BJ0134,北京,北京市朝阳区来广营乡红军营村53号,朝阳区,116.436676,40.029446,
小象超市-大望站-BJ0287,北京,北京市朝阳区西大望路17号,朝阳区,116.47924,39.902695,
小象超市-和悦站-BJ0301,北京,北京市海淀区永泰庄路25号建金综合服务楼b1层,海淀区,116.347678,40.033043,
小象超市-建国街站-BJ0209,北京,北京市丰台区建国街一里伟采便民中心二楼美团买菜,丰台区,116.290222,39.846409,
小象超市-康庄站-BJ0250,北京,北京市大兴区兴盛园13甲号楼2层201-30,大兴区,116.317268,39.757336,
小象超市-北沙滩站-BJ0188,北京,朝阳区北沙滩7号院1号楼1层商业,朝阳区,116.370651,40.006737,
小象超市-莲花池东路站-BJ0170,北京,北京市海淀区莲花池东路31号B1层012室,海淀区,116.322655,39.8978,
小象超市-惠民站-BJ0309,北京,北京市门头沟区城子大街90号院1号楼（17号商业楼）（以下简称商投社区）一层部分,门头沟区,116.100219,39.949559,
小象超市-沙河东站-BJ0213,北京,北京市昌平区沙河镇北京富雷科技股份有限公司院内小象超市,昌平区,116.294243,40.149506,
小象超市-丰贤中路站-BJ0327,北京,北京市海淀区丰贤中路7号,海淀区,116.23482,40.077989,
小象超市-大红门东站-BJ0150,北京,北京市丰台区大红门路51号康泽园17号楼一层102室,丰台区,116.408302,39.840874,
小象超市-华园站-BJ0314,北京,门头沟区石龙工业园美安路1号5号楼一层101室,门头沟区,116.118365,39.899735,
小象超市-方庄南路站-BJ0185,北京,丰台区方庄南路9号院,丰台区,116.437759,39.853771,
小象超市-四方桥站-BJ0248,北京,北京朝阳区十八里店乡周家庄中路19号院西门底商美团买菜（乐刻健身招牌侧面）,朝阳区,116.477669,39.864235,
小象超市-北土城站-BJ0107,北京,北京市朝阳区民族园路2号（导航到秦唐味道唐人购物广场店）,朝阳区,116.390221,39.981071,
小象超市-公益西桥站-BJ0086,北京,北京市丰台区嘉园路大台子9号（速8酒店院内）,丰台区,116.36409,39.83773,
小象超市-联想桥东站-BJ0212,北京,海淀区中关村东路118号神沃汽车租赁与支雲酒文化体验馆中间门洞,海淀区,116.335363,39.970651,
小象超市-丽泽站-BJ0246,北京,北京市西城区红莲南路路28号6-1幢202室,西城区,116.333565,39.876305,
小象超市-新华街站-BJ0331,北京,北京市丰台区建国街一里三六零三工厂宿舍50幢187号,丰台区,116.290682,39.846952,
小象超市-小红门站-BJ0148,北京,朝阳区小红门乡龙爪树南里68号2号楼1层111号（7AF汽车工厂隔壁）,朝阳区,116.459343,39.837875,
小象超市-小营站-BJ0105,北京,北京市朝阳区大屯乡小营路6号院（道尔泰广场西门外）,朝阳区,116.42495,39.996479,
小象超市-万源街站-BJ0204,北京,北京经济技术开发区荣华中路7号院4号楼2层,大兴区,116.50177,39.801029,
小象超市-交大东路站-BJ0186,北京,北京市海淀区交大东路25号1号楼-1层整层,海淀区,116.347771,39.950226,
小象超市-泰福站-BJ0281,北京,北京市朝阳区三间房东路4号3号楼1层107室,朝阳区,116.576019,39.922405,
小象超市-回龙观东大街站-BJ0257,北京,"北京市昌平区回龙观镇东大街338号腾讯众创空间CM-东1F空间单元号为105,106",昌平区,116.348412,40.079948,
小象超市-万霖站-BJ0315,北京,北京市海淀区农大南路88号一层010室,海淀区,116.300601,40.024188,
小象超市-双合站-BJ0272,北京,北京市朝阳区西直河中街西直河商业中心南侧甲1号,朝阳区,116.527794,39.84341,
小象超市-云景南大街站-BJ0154,北京,北京市通州区梨园镇云景东路55号（原隆鹤温泉酒店院内）,通州区,116.662003,39.873928,
小象超市-红松园站-BJ0074,北京,北京中材人工晶体研究院南门,朝阳区,116.552582,39.960964,
小象超市-临泓路站-BJ0181,北京,北京市丰台区大红门地铁西北口停车楼,丰台区,116.397385,39.846188,
小象超市-胜古站-BJ0274,北京,北京市-东城区-北三环东路17号对面1层东侧,东城区,116.410675,39.969494,
小象超市-高碑店站-BJ0241,北京,北京市朝阳区广渠东路小海子村甲1号院A12,朝阳区,116.515038,39.887947,
小象超市-逸翠站-BJ0276,北京,北京市朝阳区姚家园北一路808号姚家园产业园A座,朝阳区,116.520561,39.94595,
小象超市-宏福站-BJ0216,北京,北京市昌平区北七家镇北清路宏福创业园格林豪泰酒店停车场北侧美团买菜,昌平区,116.365921,40.101013,
小象超市-昌南站-BJ0265,北京,昌平区永安路38号3号楼二层西侧,昌平区,116.234543,40.201366,
小象超市-国展站-BJ0228,北京,北京市顺义区天竺空港工业A区天纬四街7号院1号楼1层A-107室,顺义区,116.560768,40.07246,
小象超市-金台路站-BJ0220,北京,北京市朝阳区延静西里甲16号楼一层美团买菜（金台路站）,朝阳区,116.483093,39.919849,
小象超市-建材城西站-BJ0229,北京,北京市海淀区西三旗北京公交运输七厂院内,海淀区,116.330911,40.054096,
小象超市-双桥东路站-BJ0172,北京,北京市朝阳区管庄乡双桥东路甲8号一层F1--09,朝阳区,116.602638,39.901451,
小象超市-春秀站-BJ0293,北京,北京市东城区东直门外小街甲2号1层B座一层,东城区,116.446198,39.943722,
小象超市-文化街站-BJ0313,北京,北京市石景山区鲁谷路11号院玉泉花卉市场院内精品厅2号,石景山区,116.24748,39.904366,
小象超市-永顺站-BJ0259,北京,北京市通州区永顺路44号1层商业（珠江万福家园）B3#一层06、07号,通州区,116.65123,39.916977,
小象超市-小屯北街站-BJ0189,北京,北京市丰台区小屯路3号1号楼1层107室,丰台区,116.247757,39.884129,
小象超市-新桥站-BJ0296,北京,北京市东城区东四十条147号(天兴居),东城区,116.417978,39.934018,
小象超市-玉带河站-BJ0242,北京,北京市通州区玉带河大街4号院6号楼1层106室,通州区,116.68821,39.900692,
小象超市-十里堡南站-BJ0147,北京,朝阳区十里堡小天地市场美团买菜,朝阳区,116.501411,39.920052,
小象超市-劲松东站-BJ0219,北京,朝阳区农光东里34号楼C座地下一层,朝阳区,116.469566,39.883972,
小象超市-模式口站-BJ0126,北京,北京市石景山区阜石路天大国际家居南门,石景山区,116.173035,39.922424,
小象超市-太平庄站-BJ0196,北京,海淀区新街口外大街3号院,海淀区,116.367607,39.967197,
小象超市-万丰路站-BJ0169,北京,北京市丰台区万丰路305号,丰台区,116.29628,39.873016,
小象超市-果园南站-BJ0142,北京,北京市通州区梨园镇西小马村商业楼6号楼一层1-02,通州区,116.643509,39.881603,
小象超市-望京西站-BJ0227,北京,北京市朝阳区季景沁园216号楼行知堂中医研究院底商旁美团买菜,朝阳区,116.454391,39.996578,
小象超市-惠新东站-BJ0278,北京,北京市朝阳区惠新东街路19号-1-101,朝阳区,116.424065,39.977634,
小象超市-安宁庄路站-BJ0184,北京,北京市海淀区清河三街72号15幢等15幢,海淀区,116.332848,40.040665,
小象超市-七星园站-BJ0263,北京,北京市石景山区鲁谷南路26号向阳综合楼A座2层201号,石景山区,116.211578,39.900192,
小象超市-长政南街站-BJ0175,北京,房山区长阳镇长政南街4号院2号楼,房山区,116.214249,39.761665,
小象超市-莲宝站-BJ0270,北京,北京市-丰台区-莲怡园北路莲怡园二区1号楼地配套的行业负一层118,丰台区,116.298096,39.886436,
小象超市-右安门站-BJ0072,北京,北京市丰台区右安门外大街玉林商务楼北门美团买菜,丰台区,116.366554,39.861572,
小象超市-新华东街站-BJ0176,北京,北京市通州区新华东街126号,通州区,116.668991,39.908199,
小象超市-育知路站-BJ0310,北京,北京市昌平区京昌公路二拨子路东（北京一轻时代产业运营管理有限公司）内14幢10-1,昌平区,116.312016,40.079499,
小象超市-垡头东路站-BJ0141,北京,北京市朝阳区北人户外产业园（垡头华澳家具厂公寓尽头左转200米）,朝阳区,116.515373,39.857704,
小象超市-十里河站-BJ0028,北京,朝阳区左安门外左安路东口路北十里河文创园C座一层380号,朝阳区,116.458031,39.86787,
小象超市-和义站-BJ0252,北京,丰台区南苑北里二区11号一层01,丰台区,116.400078,39.807724,
小象超市-和平里站-BJ0224,北京,北京市东城区和平里中街19号1幢-1层102室,东城区,116.420547,39.957584,
小象超市-常营站-BJ0203,北京,北京市朝阳区常营丽景园南1门旁底商下沉广场小象超市,朝阳区,116.613281,39.924345,
小象超市-潞苑中街站-BJ0168,北京,北京市通州区潞苑五街珠江国际城八区西北侧,通州区,116.6782,39.932934,
小象超市-百花站-BJ0290,北京,北京市朝阳区高碑店乡北花园村3-1号FC01楼B1层A01室,朝阳区,116.55854,39.898392,
小象超市-花家地站-BJ0137,北京,北京市朝阳区北四环东路1号（臻品洗车旁边）,朝阳区,116.468521,39.974472,
小象超市-杜家坎站-BJ0106,北京,北京市丰台区长辛店镇杜家坎南路15号（七天优品酒店杜家坎园博店）,丰台区,116.208603,39.838387,
小象超市-黄村西大街站-BJ0146,北京,北京市大兴区三中西巷25号超鹏体检左侧,大兴区,116.328301,39.733589,
小象超市-葛庄站-BJ0240,北京,北京市通州区马驹桥大葛庄村121号正耀餐具公司,通州区,116.561867,39.755264,
小象超市-学清路站-BJ0233,北京,北京市海淀区双清路6号1号楼地下一层北侧,海淀区,116.346176,40.015602,
小象超市-高鑫站-BJ0256,北京,丰台区高立庄路616号,丰台区,116.304115,39.794449,
小象超市-玲珑站-BJ0277,北京,北京市海淀区西三环北路66号院内一层,海淀区,116.310753,39.935555,
小象超市-昌东站-BJ0297,北京,北京市昌平区昌平镇水库路57号2号等27幢楼,昌平区,116.262466,40.223736,
小象超市-古城北路站-BJ0161,北京,石景山古城北路6号（石景山区古城北路菜蔬综合楼）,石景山区,116.191216,39.917702,
小象超市-青年路站-BJ0206,北京,京市朝阳区姚家园南路航安汽修胡同到头左转美团买菜,朝阳区,116.526276,39.930336,
小象超市-永外大街站-BJ0218,北京,北京市丰台区木樨园74号8、9、10、11、12、13、14,丰台区,116.401688,39.858372,
小象超市-鸿坤站-BJ0275,北京,大兴区欣清南巷2号院2号1层1-106BC、1-106A、1-104,大兴区,116.346619,39.789688,
小象超市-草桥站-BJ0236,北京,丰台区草桥欣园一区6号楼1层B段商业2,丰台区,116.356377,39.846226,
小象超市-新华街站-BJ0331,北京,北京市丰台区建国街一里三六零三工厂宿舍50幢187号,丰台区,116.290682,39.846952,
小象超市-天南站-BJ0269,北京,北京市朝阳区景顺小管,昌平区,116.415192,40.057041,
小象超市-永丰南站-BJ0207,北京,北京市海淀区永嘉南路2号院1号楼-1层,海淀区,116.254929,40.068436,
小象超市-西山站-BJ0271,北京,北京市海淀区杏石口路80号宝蓝益园高新技术超融合园区B区2号楼一层101室,海淀区,116.23558,39.952553,
小象超市-九棵树东路站-BJ0208,北京,通州区梨园地区小街村南（北京标准件一厂）3-2幢1106号,通州区,116.683868,39.873047,
小象超市-首经贸东站-BJ0160,北京,丰台区首经贸中街1号院1号楼,丰台区,116.324959,39.840897,
小象超市-市集北区1号-BJ0317,北京,北京市门头沟区北京鹭峰国家森林公园小象市集北区1号店,门头沟区,116.078166,40.058954,
小象超市-四惠东站-BJ0237,北京,北京市朝阳区高碑店乡半壁店村惠河南街1111号院一层118室,朝阳区,116.511047,39.904659,
小象超市-沙各庄站-BJ0223,北京,北京市昌平区枫树家园4区4号楼-1层D01,昌平区,116.410339,40.133072,
小象超市-天水街站-BJ0191,北京,北京市大兴区天水街16号院兴源兴福边民服务中心,大兴区,116.318604,39.691303,
小象超市-朝内大街站-BJ0211,北京,北京市东城区朝内南小街121号,东城区,116.425835,39.920761,
小象超市-拱辰站-BJ0282,北京,拱辰大街88号1号商业楼1层7号,房山区,116.142433,39.734837,
小象超市-怀柔站-BJ0311,北京,北京市怀柔区青春路北溢洪道东侧北京运通盛世农副产品市场有限公司西侧大厅4-54号）,怀柔区,116.631121,40.329989,
小象超市-旺科路站-BJ0316,北京,北京市海淀区西北旺东路10号院东区5号楼1层101,海淀区,116.279744,40.047216,
小象超市-平房桥站-BJ0262,北京,北京市朝阳区平房 路175号北侧5号库,朝阳区,116.54184,39.95274,
小象超市-长春桥站-BJ0260,北京,海淀区蓝靛厂晴波园5号楼负1层地下室,海淀区,116.287834,39.961945,
小象超市-月华站-BJ0273,北京,北京市房山区西潞街道办事处太平庄村京石高速路东北京太平庄良乡综合交易市场二层8号门,房山区,116.118851,39.731339,
小象超市-嘉州站-BJ0286,北京,昊天北大街48号218-2号楼1层1-1,房山区,116.1651,39.767696,
小象超市-环科路站-BJ0226,北京,通州区环科中路10号院2号楼1层101,通州区,116.558723,39.73904,
小象超市-乾安路站-BJ0254,北京,北京市顺义区乾安路1号院5号楼负一层1001,顺义区,116.652481,40.18573,
小象超市-同济一站-BJ0198,北京,北京经济技术开发区康定街11号2号楼,大兴区,116.536038,39.772687,
小象超市-磁器口站-BJ0231,北京,珠市口东大街5号01层1-4,东城区,116.415039,39.893341,
小象超市-黄厂站-BJ0215,北京,朝阳区豆各庄乡（北京皮革公司化工厂南院）9幢8121-1室,朝阳区,116.550529,39.857567,
小象超市-复兴门站-BJ0232,北京,西城区真武庙路四条8号院2号楼商业B101、B102,西城区,116.346733,39.90276,
小象超市-阜石路站-BJ0258,北京,北京市-海淀区-玉海园五里22号商业楼-1层103,海淀区,116.258835,39.922989,
小象超市-宣武站-BJ0283,北京,北京市西城区横二条68号北京图书大厦二期,西城区,116.37709,39.908516,
小象超市-曙光站-BJ0300,北京,北京市朝阳区曙光西里甲10号地下一层部分,朝阳区,116.448823,39.962454,
小象超市-运河公园站-BJ0234,北京,北京市通州区芙蓉西路1号5号楼1层01,通州区,116.67849,39.918697,
小象超市-雅宝路站-BJ0318,北京,朝阳区雅宝路1号国雅大厦负一层B015至B020室,朝阳区,116.440359,39.916372,
小象超市-彭庄站-BJ0173,北京,东城区彭庄60号16幢一层111室,东城区,116.386452,39.869083,
小象超市-大屯站-BJ0279,北京,北京市朝阳区北苑路86号院309号楼1层101、102,朝阳区,116.423294,40.003918,
小象超市-兴华站-BJ0289,北京,北京市大兴区黄村东大街37号,大兴区,116.34153,39.732094,
小象超市-广阳城二站-BJ0214,北京,北京市房山区辛瓜地路12号院1号楼一层106-38,房山区,116.185593,39.739609,
小象超市-总部基地站-BJ0249,北京,丰台区南四环西路188号十六区22幢地下一层A04、A05、A06、A07室,丰台区,116.291733,39.826336,
小象超市-嘉创路站-BJ0245,北京,通州区嘉创二路57号103,通州区,116.556053,39.814102,
小象超市-西钓鱼台站-BJ0167,北京,北京市海淀区阜成路81号院1号楼地下一层010号,海淀区,116.292854,39.925053,
小象超市-潘家园站-BJ0182,北京,北京市朝阳区东三环华威北里九号院华泰饭店院内北院停车场小象超市,朝阳区,116.460213,39.880611,
小象超市-科技路站-BJ0145,北京,北京市大兴区旧宫镇科技路临一号院一号楼101,大兴区,116.449112,39.810001,
小象超市-旭景站-BJ0328,北京,北京市通州区疃里南区99号2号楼一层3-14-020室,通州区,116.696952,39.940222,
小象超市-温泉站-BJ0217,北京,海淀区白家疃观麓园17号楼一层107、108,海淀区,116.180435,40.047543,
小象超市-怀柔站-BJ0311,北京,北京市怀柔区青春路北溢洪道东侧北京运通盛世农副产品市场有限公司西侧大厅4-54号）,怀柔区,116.631121,40.329989,
小象超市-科创街站-BJ0199,北京,通州区经海七路天兔文化生活广场22号院1号楼地下一层（优品公馆公寓旁进入）,通州区,116.562943,39.802765,
小象超市-旭景站-BJ0328,北京,北京市通州区疃里南区99号2号楼一层3-14-020室,通州区,116.696952,39.940222,
小象超市-云岗站-BJ0124,北京,北京市丰台区云岗街道云岗便民服务中心（云岗中学对面）,丰台区,116.165367,39.809662,
小象超市-鼎新站-BJ0299,北京,北京市东城区东花市北里东区1号楼-01层东侧,东城区,116.438372,39.897949,
小象超市-慈寿寺站-BJ0177,北京,北京市海淀区五路居裕泽园6号楼,海淀区,116.291832,39.936733,
小象超市-景程站-BJ0298,北京,北京市丰台区大井桥南202号一层101,丰台区,116.264042,39.865428,
小象超市-崔各庄东站-BJ0222,北京,北京市朝阳区来广营东路98号华翰龙门创意园-园区内小象超市,朝阳区,116.503253,40.022599,
小象超市-康达站-BJ0292,北京,朝阳区朝阳北路58号A2座b1层,朝阳区,116.549324,39.923203,
小象超市-富河大街站-BJ0261,北京,北京市通州区温榆河西路新建村20号-27,通州区,116.642929,39.932339,
小象超市-葡山站-BJ0144,北京,门头沟区石龙北路3号院2号楼-112,门头沟区,116.113503,39.923347,
小象超市-同兴园站-BJ0255,北京,北京市丰台区南庭新苑北区26号楼南侧便民服务中心二层小象超市（原美团买菜）,丰台区,116.368088,39.805107,
小象超市-市集南区9号-BJ0321,北京,丰台区南四环西路188号十六区22幢地下一层A04、A05、A06、A07室,丰台区,116.256121,39.797865,
小象超市-龙域站-BJ0163,北京,北京市昌平区回龙观镇龙域西二路6号院1号楼140-09号,昌平区,116.305458,40.066021,
小象超市-密云站-BJ0138,北京,北京密云区鼓楼北大街路10号华谊生活广场美团买菜密云店,密云区,116.846642,40.377415,
小象超市-顺平路站-BJ0210,北京,顺义区军营东侧（宏大建筑公司）3号楼,顺义区,116.644508,40.112457,
小象超市-顺泰路站-BJ0288,北京,北京市顺义区紫竹园饭庄（东边供销益家市集院内南侧二楼）,顺义区,116.682764,40.108346,
小象超市-生活超市-BJ0013,北京,北京市朝阳区望京南湖东园122号（博泰国际B1层）,朝阳区,116.466415,40.00227,
小象超市-杨庄站-BJ0230,北京,石景山区实兴大街30号院16号楼1层106室02号房间,石景山区,116.192162,39.937241,
小象超市-昌西站-BJ0284,北京,昌平区政府街西路19号B1层101室,昌平区,116.224838,40.221085,
小象超市-德外站-BJ0295,北京,西城区-冰窖口胡同8号院8号楼地下一层101,西城区,116.372337,39.949989,
小象超市-霍营站-BJ0201,北京,回龙观霍家营村紫金新干线四区3号楼2层美团买菜,昌平区,116.378784,40.077053,