岗位类型,招聘单位,城市,性别,年龄要求（区间）,特殊要求,是否接受有犯罪记录,位置,经度,维度,是否招聘,工作时间,薪资,工作内容,面试时间,试岗时间
美团外卖,上海易即达【广州】黄边三站,广州,不限,18~41,会骑车，会导航，有健康证,否,广州市白云区永平街道集贤北七巷2号,113.302619,23.235856,是,早10：00~晚21：00具体班次根据站点调班,综合单价5-12元，日均派单量35-100单，新手一天30-50单，熟手50-100单，多劳多得，综合薪资6000-15000。新人补贴：身份证号维度首次入职当日开始计算，有效21天。0.3元/单；                                        单量阶梯1：0~500单（5.8元/单）                                                           责任底薪（>=500单，全勤）（3050元）                                               单量阶梯2：501~800单（6元/单）                                                        单量阶梯3：801~1100单（6.2元/单）                                                     单量阶梯4：单量阶梯4：>1100单（6.3元/单）                                               满日程奖励：月维度合格出勤天数≥N-4，N为月自然天数，7.7元/天*合格出勤天数，封顶200                      月度贡献奖励：月度完成单量大于等于800单即可享受奖励150元                                                宵夜1（21:00-24:00）补贴1元/单，宵夜2（0:00-6:00）补贴2元/单                                           多因素补贴：大额订单补贴、距离补贴、重量补贴。,1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,上海易即达【广州】黄埔一站,广州,不限,18~41,会骑车，会导航，有健康证,否,广东省广州市黄埔区坑田大街与茅岗环村大街交叉口东南140米,113.438453,23.104947,是,早10：00~晚21：00具体班次根据站点调班,新人补贴：身份证号维度首次入职当日开始计算，有效21天。0.3元/单；                                        单量阶梯1：0~500单（5.8元/单）                                                           责任底薪（>=500单，全勤）（3050元）                                               单量阶梯2：501~800单（6元/单）                                                        单量阶梯3：801~1100单（6.2元/单）                                                     单量阶梯4：单量阶梯4：>1100单（6.3元/单）                                               满日程奖励：月维度合格出勤天数≥N-4，N为月自然天数，7.7元/天*合格出勤天数，封顶200                      月度贡献奖励：月度完成单量大于等于800单即可享受奖励150元                                                宵夜1（21:00-24:00）补贴1元/单，宵夜2（0:00-6:00）补贴2元/单                                           多因素补贴：大额订单补贴、距离补贴、重量补贴。,1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,上海易即达【广州】花城汇站,广州,不限,18~41,会骑车，会导航，有健康证,否,天河南二路六运五街17 号 104,113.330737,23.131019,是,早10：00~晚21：00具体班次根据站点调班,新人补贴：身份证号维度首次入职当日开始计算，有效21天。0.3元/单；                                        单量阶梯1：0~500单（5.8元/单）                                                           责任底薪（>=500单，全勤）（3050元）                                               单量阶梯2：501~800单（6元/单）                                                        单量阶梯3：801~1100单（6.2元/单）                                                     单量阶梯4：单量阶梯4：>1100单（6.3元/单）                                               满日程奖励：月维度合格出勤天数≥N-4，N为月自然天数，7.7元/天*合格出勤天数，封顶200                      月度贡献奖励：月度完成单量大于等于800单即可享受奖励150元                                                宵夜1（21:00-24:00）补贴1元/单，宵夜2（0:00-6:00）补贴2元/单                                           多因素补贴：大额订单补贴、距离补贴、重量补贴。,1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,集约配送-上海易即达【广州】花城汇站,广州,不限,18~41,会骑车，会导航，有健康证,否,天河南二路六运五街17 号 104,113.330737,23.131019,是,早10：00~晚21：00具体班次根据站点调班,新人补贴：身份证号维度首次入职当日开始计算，有效21天。0.3元/单；                                        单量阶梯1：0~500单（5.8元/单）                                                           责任底薪（>=500单，全勤）（3050元）                                               单量阶梯2：501~800单（6元/单）                                                        单量阶梯3：801~1100单（6.2元/单）                                                     单量阶梯4：单量阶梯4：>1100单（6.3元/单）                                               满日程奖励：月维度合格出勤天数≥N-4，N为月自然天数，7.7元/天*合格出勤天数，封顶200                      月度贡献奖励：月度完成单量大于等于800单即可享受奖励150元                                                宵夜1（21:00-24:00）补贴1元/单，宵夜2（0:00-6:00）补贴2元/单                                           多因素补贴：大额订单补贴、距离补贴、重量补贴。,1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,上海易即达【广州】芳村站,广州,不限,18~41,会骑车，会导航，有健康证,否,广州市荔湾区小策社区党群服务中心正对面福源东街15号1楼,113.231262,23.097869,是,早10：00~晚21：00具体班次根据站点调班,"底薪部分：总计3700元，责任单量550单
包括底薪2700元，
全勤补贴300元，
车辆补贴300元，
高温补贴300元
大额补贴100元，
未满550单按每单6.8元计算；
                                               
提成部分551-800单每单7.5元
801-1200单每单8元
1201以上每单8.5元
整月准时率达98%以上，550单以后每单加0.5元",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,集约配送-上海易即达【广州】芳村站,广州,不限,18~41,会骑车，会导航，有健康证,否,广州市荔湾区小策社区党群服务中心正对面福源东街15号1楼,113.231262,23.097869,是,早10：00~晚21：00具体班次根据站点调班,新人补贴：身份证号维度首次入职当日开始计算，有效21天。0.3元/单；                                        单量阶梯1：0~500单（5.8元/单）                                                           责任底薪（>=500单，全勤）（3050元）                                               单量阶梯2：501~800单（6元/单）                                                        单量阶梯3：801~1100单（6.2元/单）                                                     单量阶梯4：单量阶梯4：>1100单（6.3元/单）                                               满日程奖励：月维度合格出勤天数≥N-4，N为月自然天数，7.7元/天*合格出勤天数，封顶200                      月度贡献奖励：月度完成单量大于等于800单即可享受奖励150元                                                宵夜1（21:00-24:00）补贴1元/单，宵夜2（0:00-6:00）补贴2元/单                                           多因素补贴：大额订单补贴、距离补贴、重量补贴。,1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,上海易即达【广州】东晓南站,广州,不限,18~41,会骑车，会导航，有健康证,否,广州市海珠区宝丰街44号,113.294017,23.066497,是,早10：00~晚21：00具体班次根据站点调班,"底薪部分：总计3700元，责任单量550单
包括底薪2700元，
全勤补贴300元，
车辆补贴300元，
高温补贴300元
大额补贴100元，
未满550单按每单6.8元计算；
                                               
提成部分551-800单每单7.5元
801-1200单每单8元
1201以上每单8.5元
整月准时率达98%以上，550单以后每单加0.5元",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,集约配送-易即达【广州】东晓南站,广州,不限,18~41,会骑车，会导航，有健康证,否,广州市海珠区宝丰街44号,113.294017,23.066497,是,早10：00~晚21：00具体班次根据站点调班,新人补贴：身份证号维度首次入职当日开始计算，有效21天。0.3元/单；                                        单量阶梯1：0~500单（5.8元/单）                                                           责任底薪（>=500单，全勤）（3050元）                                               单量阶梯2：501~800单（6元/单）                                                        单量阶梯3：801~1100单（6.2元/单）                                                     单量阶梯4：单量阶梯4：>1100单（6.3元/单）                                               满日程奖励：月维度合格出勤天数≥N-4，N为月自然天数，7.7元/天*合格出勤天数，封顶200                      月度贡献奖励：月度完成单量大于等于800单即可享受奖励150元                                                宵夜1（21:00-24:00）补贴1元/单，宵夜2（0:00-6:00）补贴2元/单                                           多因素补贴：大额订单补贴、距离补贴、重量补贴。,1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,企客集约配送-易即达【广州】东山,广州,不限,18~41,会骑车，会导航，有健康证,否,广东省广州市越秀区水荫路34号大院（天河路27号102）,113.310504,23.135725,是,早10：00~晚21：00具体班次根据站点调班,"底薪部分：总计3700元，责任单量550单
包括底薪2700元，
全勤补贴300元，
车辆补贴300元，
高温补贴300元
大额补贴100元，
未满550单按每单6.8元计算；
                                               
提成部分551-800单每单7.5元
801-1200单每单8元
1201以上每单8.5元
整月准时率达98%以上，550单以后每单加0.5元",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,企客集约配送-易即达【广州】陈家祠站,广州,不限,18~41,会骑车，会导航，有健康证,否,广东省广州市越秀区水荫路34号大院（天河路27号102）,113.310504,23.135725,是,早10：00~晚21：00具体班次根据站点调班,"底薪部分：总计3700元，责任单量550单
包括底薪2700元，
全勤补贴300元，
车辆补贴300元，
高温补贴300元
大额补贴100元，
未满550单按每单6.8元计算；
                                               
提成部分551-800单每单7.5元
801-1200单每单8元
1201以上每单8.5元
整月准时率达98%以上，550单以后每单加0.5元",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,上海易即达【广州】云台二站,广州,不限,18~41,会骑车，会导航，有健康证,否,白云区机场路建发广场111号187铺,113.259301,23.168908,是,早10：00~晚21：00具体班次根据站点调班,新人补贴：身份证号维度首次入职当日开始计算，有效21天。0.3元/单；                                        单量阶梯1：0~500单（5.8元/单）                                                           责任底薪（>=500单，全勤）（3050元）                                               单量阶梯2：501~800单（6元/单）                                                        单量阶梯3：801~1100单（6.2元/单）                                                     单量阶梯4：单量阶梯4：>1100单（6.3元/单）                                               满日程奖励：月维度合格出勤天数≥N-4，N为月自然天数，7.7元/天*合格出勤天数，封顶200                      月度贡献奖励：月度完成单量大于等于800单即可享受奖励150元                                                宵夜1（21:00-24:00）补贴1元/单，宵夜2（0:00-6:00）补贴2元/单                                           多因素补贴：大额订单补贴、距离补贴、重量补贴。,,,
美团外卖,宁波万古【广州】夏茅站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市白云区白云湖街道夏茅向西街14号,113.252278,23.224823,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(5.8-6.3/单)+全勤奖(200元/月) +月度贡献奖(月完成800单以上,150元/月) +星级补贴（0-0.746元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】同德围站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市白云区白云同德街道荔湾新院C栋110号,113.239524,23.180119,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(5.65-6.15/单)+全勤奖(200元/月) +月度贡献奖(月完成800单以上,150元/月) +星级补贴（0-0.729元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】凤凰城站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市增城区长岗新村西十巷三十二号,113.600765,23.142218,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(5.5-6元/单)+全勤奖(200-400元/月)
+月度贡献奖(月完成800单以上,150元/月)
+星级补贴（0.713元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】黄边站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市白云区鹤边员村东街东四巷16号一楼美团配送站点,113.269455,23.222929,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(5.8-6.3/单)+全勤奖(200元/月) +月度贡献奖(月完成800单以上,150元/月) +星级补贴（0-0.746元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】江南西站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市海珠区江南大道中157号之二102房,113.273151,23.099423,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(6.55-7.05/单)+全勤奖(200元/月) +月度贡献奖(月完成800单以上,150元/月) +星级补贴（0-0.818元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】正佳三站,广州,不限,18~41,会骑车，会导航，有健康证,否,广东省广州市天河区石牌西路东园小区西区17栋104,113.337366,23.131605,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(7-7.4/单)+全勤奖(200-400元/月)
+月度贡献奖(月完成800单以上,150元/月)
+星级补贴（0-0.763元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】龙洞站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市天河区龙洞梁婆山9巷2号,113.363702,23.200756,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(5.95-6.45/单)+全勤奖(200元/月)+纯新骑手奖励（首单日期21天内，单量上限500单 0.3元/单）+月度贡献奖(月完成≥800单,150元/月)+星级补贴（0-0.76元/单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额单补贴（2-80元/单）+重量补贴（0.4-58元封顶 ）+企客单 （0.2元  /单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】车陂站,广州,不限,18~40,会骑车，会导航，有健康证,否,广东省广州市天河区车陂街道,113.398505,23.11412,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(6.25-6.75/单)+全勤奖(200元/月)
+月度贡献奖(月完成800单以上,150元/月)
+星级补贴（0-0.790元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】生活区站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市黄埔区夏园万寿街东四巷1号101埔,113.520497,23.078452,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(5.8-6.3/单)+全勤奖(200元/月) +月度贡献奖(月完成800单以上,150元/月) +星级补贴（0-0.746元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,宁波万古【广州】石井站,广州,不限,18~42,会骑车，会导航，有健康证,否,广东省广州市白云区石门街道红星街十巷三号一楼美团配送站点,113.225645,23.215764,是,早10：00~晚21：00具体班次根据站点调班,"基础单价(5.8-6.3/单)+全勤奖(200元/月) +月度贡献奖(月完成800单以上,150元/月) +星级补贴（0-0.746元/单)+企客难度补贴(0.2元，奈雪/喜茶/星巴克订单)+夜间补贴(21-24:00+1元/单,00:00-03:00:+2元/单)+距离补贴(0-2元/单)+大额补贴+重量补贴",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
